"계정항목별",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"총고정자본형성",311967.8,338976.9,337211.0,267391.5,294034.9,337421.2,345815.1,373060.0,394095.4,407275.0,414911.3,431960.7,453515.3,451361.8,455214.4,485532.8,494922.2,493678.7,505750.1,523950.2,551564.6,589267.7,647873.5,634926.7,621662.6,638966.7,666551.5,665417.1,663841.9
"농림어업",8887.5,11552.4,8473.0,6397.7,8397.2,10628.9,9845.3,9160.4,8275.4,6723.5,6579.2,6819.6,6504.4,5867.5,5998.9,5635.6,5873.5,5752.1,5715.8,5930.9,5410.0,5442.8,5189.4,5426.9,4911.0,4990.1,5765.5,5801.8,4986.7
"광업",494.1,532.1,484.6,388.1,381.8,423.4,422.1,414.7,395.8,397.7,372.0,381.4,417.5,370.4,467.6,441.4,393.9,364.8,346.1,295.6,409.5,276.4,289.2,296.5,320.8,300.3,320.4,332.4,349.5
"제조업",81186.6,86917.5,86868.4,51506.2,63509.2,84047.7,81465.0,91843.9,100518.7,112843.9,120976.7,125915.9,136510.6,138732.1,130438.0,167658.3,177800.3,181277.3,180069.4,188711.9,192435.6,198864.7,233157.0,224704.1,213512.1,225291.2,248755.2,260104.6,251719.5
"전기, 가스 및 수도사업",18525.9,20987.7,17646.7,15648.9,21271.0,21527.7,22123.9,22393.6,21429.1,19397.1,20763.8,21103.7,22802.0,20931.5,24420.9,22353.0,21271.2,21124.0,22117.4,23718.8,24568.5,24449.1,24097.0,21877.6,23521.9,23179.6,20514.5,20233.8,20812.3
"건설업",7156.1,8155.4,8699.2,4719.8,4834.0,5343.3,4818.3,5466.4,5546.2,5554.6,5484.0,4895.6,5687.2,5168.7,5107.4,5047.4,5788.1,5596.1,5351.1,5547.9,5715.1,6272.8,6615.1,6252.6,5953.2,6360.1,7129.9,6947.0,6869.3
"서비스업",199358.0,214989.0,219116.9,194378.6,200441.9,218800.5,231417.0,247600.7,261368.4,264749.9,262498.6,274692.7,283235.0,281844.7,290602.9,284636.8,283758.5,279402.6,292172.9,299675.2,323100.7,354219.5,378422.5,376336.1,373443.9,378845.4,384066.1,372346.1,379031.5
"도소매 및 숙박음식업",10798.5,12092.2,11190.3,8416.3,10671.9,13299.1,14426.5,15640.0,15545.8,13254.8,11916.6,12850.6,13827.8,14675.8,13303.1,15893.5,18620.6,17690.6,18113.6,21199.8,21023.1,21445.7,21090.7,19963.6,19330.2,20020.9,20106.8,20730.9,18872.3
"운수업",27582.2,27042.8,23033.5,19485.8,25118.0,27582.0,23682.0,22493.6,21717.4,23615.9,22450.6,25732.0,29278.9,31840.7,31052.2,33072.0,34990.4,34417.7,33325.8,34108.9,35949.0,35078.7,33978.8,35926.2,37372.9,37177.5,40989.8,39957.3,42825.2
"금융 및 보험업",5317.0,6614.3,6883.9,3427.4,739.9,8641.8,7867.0,8637.4,8315.6,6514.9,6671.9,7065.0,8102.5,8663.5,7539.5,8805.1,9900.9,9468.8,9427.7,9982.1,10892.3,11846.5,12895.7,12280.4,10585.1,10107.2,11187.1,11956.8,11894.8
"부동산업",85627.1,90196.8,96271.1,90305.6,76910.6,63790.4,71156.4,80143.4,91457.4,94411.6,95155.2,95280.3,93131.2,88116.7,82401.7,76427.8,68947.2,66375.3,80406.5,89012.7,105342.8,130499.1,149517.9,143212.7,131718.7,132497.2,136228.0,129010.0,128165.4
"정보통신업",10379.4,11794.7,11299.6,10338.8,16229.8,21003.2,22866.2,23570.0,22790.2,22263.2,21833.5,25385.8,27022.2,26010.3,25771.8,28039.2,29687.3,33198.4,31697.7,31447.0,30110.2,30499.1,31501.3,32040.7,33214.5,32876.7,32082.2,32725.2,33473.2
"사업서비스업",6844.7,7788.4,8920.6,7623.3,7489.1,5858.8,7425.3,8527.7,9969.9,10906.7,10712.9,11493.1,11531.5,12288.1,11940.5,13151.9,13855.9,14755.7,14592.3,15314.5,16518.0,16950.3,18475.8,18409.6,19045.7,19896.0,21499.6,23114.9,23115.4
"공공행정, 국방 및 사회보장",46410.1,48756.3,51253.6,48083.2,48528.3,52185.6,54399.4,53649.2,60875.7,62510.0,62146.2,62656.5,64972.7,64591.7,79876.1,68718.8,66171.0,64415.7,65772.9,61928.7,65302.9,69447.5,70462.6,72881.8,79917.8,82096.8,78440.2,71757.2,76676.9
"교육서비스업",6242.2,7486.7,7703.3,6597.8,7696.7,12206.7,13991.0,16271.3,15191.0,15906.1,15916.9,16456.6,15786.6,16208.8,19157.4,17902.7,17340.2,16504.1,16300.6,15134.1,15206.8,15688.5,17194.8,17907.7,18183.2,19150.9,18676.1,17700.0,18491.1
"의료보건 및 사회복지서비스업",4250.2,5083.9,5105.3,4622.5,5917.9,5610.6,5825.3,6655.5,6663.5,7084.0,7068.0,7603.8,8667.2,8486.6,9177.2,10698.4,11018.0,10661.0,11110.5,11180.5,12636.4,13225.5,13824.2,14394.1,15222.2,16008.9,16086.5,16722.5,17413.5
"문화 및 기타서비스업",6540.8,7723.9,7748.8,6232.7,7256.6,8715.0,9260.4,11313.5,10114.0,10181.9,10716.1,11408.7,11661.5,11503.5,10932.9,11456.5,12039.1,10410.7,10405.8,9557.0,9565.1,9454.7,9657.3,9407.0,8861.8,9013.5,8770.0,8897.8,8373.7
