Year,GFCF_Real,GFCF_Real_6년_이동평균
1995,10379.4,
1996,11794.7,
1997,11299.6,
1998,10338.8,
1999,16229.8,
2000,21003.2,13507.583333333334
2001,22866.2,15588.716666666667
2002,23570.0,17551.266666666666
2003,22790.2,19466.36666666667
2004,22263.2,21453.766666666666
2005,21833.5,22387.716666666664
2006,25385.8,23118.149999999998
2007,27022.2,23810.816666666666
2008,26010.3,24217.533333333336
2009,25771.8,24714.466666666664
2010,28039.2,25677.13333333333
2011,29687.3,26986.100000000002
2012,33198.4,28288.2
2013,31697.7,29067.45
2014,31447.0,29973.56666666667
2015,30110.2,30696.63333333333
2016,30499.1,31106.61666666667
2017,31501.3,31408.949999999997
2018,32040.7,31216.0
2019,33214.5,31468.8
2020,32876.7,31707.083333333332
2021,32082.2,32035.75
2022,32725.2,32406.766666666666
2023,33473.2,32735.416666666668
