date,population
1960-12-31,13698341
1961-12-31,13949773
1962-12-31,14257691
1963-12-31,14595205
1964-12-31,14923382
1965-12-31,15245851
1966-12-31,15592878
1967-12-31,16003566
1968-12-31,16445982
1969-12-31,16957491
1970-12-31,17540152
1971-12-31,18064092
1972-12-31,18602276
1973-12-31,19176510
1974-12-31,19781685
1975-12-31,20448875
1976-12-31,21151580
1977-12-31,21829330
1978-12-31,22495994
1979-12-31,23123979
1980-12-31,23716967
1981-12-31,24300033
1982-12-31,24880337
1983-12-31,25494901
1984-12-31,26140581
1985-12-31,26759353
1986-12-31,27383105
1987-12-31,27998885
1988-12-31,28581942
1989-12-31,29134922
1990-12-31,29700607
1991-12-31,30170543
1992-12-31,30610680
1993-12-31,31023107
1994-12-31,31445602
1995-12-31,31899511
1996-12-31,32326522
1997-12-31,32791167
1998-12-31,33125933
1999-12-31,33420207
2000-12-31,33701986
2001-12-31,33946787
2002-12-31,34155443
2003-12-31,34367560
2004-12-31,34521703
2005-12-31,34640514
2006-12-31,34932893
2007-12-31,35208580
2008-12-31,35587293
2009-12-31,35901685
2010-12-31,36208564
2011-12-31,36649999
2012-12-31,36855893
2013-12-31,37013997
2014-12-31,37255840
2015-12-31,37443896
2016-12-31,37596157
2017-12-31,37571568
2018-12-31,37623919
2019-12-31,37627748
2020-12-31,37378502
2021-12-31,37051333
2022-12-31,36743472
2023-12-31,36571568
2024-12-31,36327585
2025-12-31,35912191
2026-12-31,35487854
2027-12-31,35183727
2028-12-31,34803739
2029-12-31,34517674
2030-12-31,34165560
2031-12-31,33811710
2032-12-31,33425844
2033-12-31,32979445
2034-12-31,32418451
2035-12-31,31877595
2036-12-31,31283961
2037-12-31,30712083
2038-12-31,30130414
2039-12-31,29551616
2040-12-31,29029154
2041-12-31,28545426
2042-12-31,28088737
2043-12-31,27631884
2044-12-31,27173518
2045-12-31,26653748
2046-12-31,26137505
2047-12-31,25624032
2048-12-31,25167604
2049-12-31,24781109
2050-12-31,24447839
2051-12-31,24113219
2052-12-31,23796117
2053-12-31,23485218
2054-12-31,23151283
2055-12-31,22795051
2056-12-31,22424454
2057-12-31,21992529
2058-12-31,21549924
2059-12-31,21115982
2060-12-31,20686964
2061-12-31,20252503
2062-12-31,19833615
2063-12-31,19423262
2064-12-31,19039512
2065-12-31,18640458
2066-12-31,18257719
2067-12-31,17949189
2068-12-31,17663740
2069-12-31,17372636
2070-12-31,17111187
2071-12-31,16855376
2072-12-31,16575182
