Year,Month,Total_Wage
2008,1,2506977.0
2008,2,2802574.0
2008,3,2462429.0
2008,4,2460087.0
2008,5,2335684.0
2008,6,2585567.0
2008,7,2590580.0
2008,8,2512826.0
2008,9,2769733.0
2008,10,2483047.0
2008,11,2339772.0
2008,12,2980712.0
2009,1,2871563.0
2009,2,2551617.0
2009,3,2497739.0
2009,4,2520384.0
2009,5,2391680.0
2009,6,2621092.0
2009,7,2632050.0
2009,8,2552408.0
2009,9,2807716.0
2009,10,2593417.0
2009,11,2395535.0
2009,12,3206599.0
2010,1,2724947.0
2010,2,3059578.0
2010,3,2688558.0
2010,4,2683715.0
2010,5,2534632.0
2010,6,2779569.0
2010,7,2880341.0
2010,8,2713821.0
2010,9,3119490.0
2010,10,2651630.0
2010,11,2576714.0
2010,12,3394230.0
2011,1,2726580.0
2011,2,2550340.0
2011,3,2509242.0
2011,4,2494914.0
2011,5,2402915.0
2011,6,2561934.0
2011,7,2654356.0
2011,8,2648146.0
2011,9,2730221.0
2011,10,2559302.0
2011,11,2421743.0
2011,12,3020516.0
2012,1,3071099.0
2012,2,2641502.0
2012,3,2643494.0
2012,4,2614140.0
2012,5,2517112.0
2012,6,2715980.0
2012,7,2746391.0
2012,8,2646977.0
2012,9,3022210.0
2012,10,2648717.0
2012,11,2522360.0
2012,12,3136057.0
2013,1,2878333.0
2013,2,3024921.0
2013,3,2741080.0
2013,4,2726595.0
2013,5,2638623.0
2013,6,2788249.0
2013,7,2852987.0
2013,8,2748651.0
2013,9,3089022.0
2013,10,2741630.0
2013,11,2609844.0
2013,12,3203784.0
2014,1,3319070.0
2014,2,2787893.0
2014,3,2789271.0
2014,4,2774949.0
2014,5,2692179.0
2014,6,2830482.0
2014,7,2901166.0
2014,8,2880137.0
2014,9,3029571.0
2014,10,2845273.0
2014,11,2730332.0
2014,12,3276944.0
2015,1,3026406.0
2015,2,3207266.0
2015,3,2882539.0
2015,4,2838156.0
2015,5,2774308.0
2015,6,2922342.0
2015,7,3002242.0
2015,8,2908695.0
2015,9,3202426.0
2015,10,2863369.0
2015,11,2796705.0
2015,12,3469831.0
2016,1,3202856.0
2016,2,3378088.0
2016,3,2977677.0
2016,4,2940236.0
2016,5,2866530.0
2016,6,2999452.0
2016,7,3102290.0
2016,8,3038101.0
2016,9,3309239.0
2016,10,2992505.0
2016,11,2921903.0
2016,12,3545269.0
2017,1,3715429.0
2017,2,3072011.0
2017,3,3102611.0
2017,4,3056823.0
2017,5,2972304.0
2017,6,3108580.0
2017,7,3202685.0
2017,8,3086065.0
2017,9,3484332.0
2017,10,3066083.0
2017,11,3007110.0
2017,12,3608145.0
2018,1,3626186.0
2018,2,3767989.0
2018,3,3277528.0
2018,4,3175124.0
2018,5,3122052.0
2018,6,3224385.0
2018,7,3387269.0
2018,8,3236170.0
2018,9,3628521.0
2018,10,3166601.0
2018,11,3102895.0
2018,12,3808010.0
2019,1,3940764.0
2019,2,3644108.0
2019,3,3396664.0
2019,4,3304599.0
2019,5,3247215.0
2019,6,3329311.0
2019,7,3483591.0
2019,8,3374106.0
2019,9,3745193.0
2019,10,3322895.0
2019,11,3220069.0
2019,12,3885631.0
