비목별(1),비목별(2),기간,금액
자본적지출,컴퓨터 소프트웨어,1995,-
자본적지출,컴퓨터 소프트웨어,1996,-
자본적지출,컴퓨터 소프트웨어,1997,-
자본적지출,컴퓨터 소프트웨어,1998,-
자본적지출,컴퓨터 소프트웨어,1999,-
자본적지출,컴퓨터 소프트웨어,2000,-
자본적지출,컴퓨터 소프트웨어,2001,-
자본적지출,컴퓨터 소프트웨어,2002,273569
자본적지출,컴퓨터 소프트웨어,2003,304317
자본적지출,컴퓨터 소프트웨어,2004,315664
자본적지출,컴퓨터 소프트웨어,2005,377487
자본적지출,컴퓨터 소프트웨어,2006,426875
자본적지출,컴퓨터 소프트웨어,2007,445777
자본적지출,컴퓨터 소프트웨어,2008,342201
자본적지출,컴퓨터 소프트웨어,2009,281132
자본적지출,컴퓨터 소프트웨어,2010,338751
자본적지출,컴퓨터 소프트웨어,2011,384024
자본적지출,컴퓨터 소프트웨어,2012,490727
자본적지출,컴퓨터 소프트웨어,2013,417177
자본적지출,컴퓨터 소프트웨어,2014,486059
자본적지출,컴퓨터 소프트웨어,2015,409324
자본적지출,컴퓨터 소프트웨어,2016,423486
자본적지출,컴퓨터 소프트웨어,2017,399572
자본적지출,컴퓨터 소프트웨어,2018,505944
자본적지출,컴퓨터 소프트웨어,2019,546749
자본적지출,컴퓨터 소프트웨어,2020,557070
자본적지출,컴퓨터 소프트웨어,2021,710470
자본적지출,컴퓨터 소프트웨어,2022,815246
자본적지출,컴퓨터 소프트웨어,2023,909183
