연도,환율,환율_lag_1,환율_lag_6
1995-01-01,770.94,,
1996-01-01,805.13,770.94,
1997-01-01,953.58,805.13,
1998-01-01,1394.97,953.58,
1999-01-01,1188.65,1394.97,
2000-01-01,1131.12,1188.65,
2001-01-01,1290.99,1131.12,770.94
2002-01-01,1250.65,1290.99,805.13
2003-01-01,1191.85,1250.65,953.58
2004-01-01,1143.74,1191.85,1394.97
2005-01-01,1024.13,1143.74,1188.65
2006-01-01,955.08,1024.13,1131.12
2007-01-01,929.16,955.08,1290.99
2008-01-01,1103.36,929.16,1250.65
2009-01-01,1276.35,1103.36,1191.85
2010-01-01,1156.0,1276.35,1143.74
2011-01-01,1107.99,1156.0,1024.13
2012-01-01,1126.76,1107.99,955.08
2013-01-01,1095.04,1126.76,929.16
2014-01-01,1053.12,1095.04,1103.36
2015-01-01,1131.52,1053.12,1276.35
2016-01-01,1160.41,1131.52,1156.0
2017-01-01,1130.48,1160.41,1107.99
2018-01-01,1100.58,1130.48,1126.76
2019-01-01,1166.11,1100.58,1095.04
2020-01-01,1180.01,1166.11,1053.12
2021-01-01,1144.61,1180.01,1131.52
2022-01-01,1292.2,1144.61,1160.41
2023-01-01,1305.93,1292.2,1130.48
