"계정항목별",1995.1/4,1995.2/4,1995.3/4,1995.4/4,1996.1/4,1996.2/4,1996.3/4,1996.4/4,1997.1/4,1997.2/4,1997.3/4,1997.4/4,1998.1/4,1998.2/4,1998.3/4,1998.4/4,1999.1/4,1999.2/4,1999.3/4,1999.4/4,2000.1/4,2000.2/4,2000.3/4,2000.4/4,2001.1/4,2001.2/4,2001.3/4,2001.4/4,2002.1/4,2002.2/4,2002.3/4,2002.4/4,2003.1/4,2003.2/4,2003.3/4,2003.4/4,2004.1/4,2004.2/4,2004.3/4,2004.4/4,2005.1/4,2005.2/4,2005.3/4,2005.4/4,2006.1/4,2006.2/4,2006.3/4,2006.4/4,2007.1/4,2007.2/4,2007.3/4,2007.4/4,2008.1/4,2008.2/4,2008.3/4,2008.4/4,2009.1/4,2009.2/4,2009.3/4,2009.4/4,2010.1/4,2010.2/4,2010.3/4,2010.4/4,2011.1/4,2011.2/4,2011.3/4,2011.4/4,2012.1/4,2012.2/4,2012.3/4,2012.4/4,2013.1/4,2013.2/4,2013.3/4,2013.4/4,2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4
"GDP",182209.4,185683.6,189589.1,193183.4,197063.4,200858.6,204565.9,208158.9,209163.5,216503.8,218621.3,217284.7,202695.9,201114.3,205049.8,210160.9,216688.0,226088.5,232582.6,238809.5,243573.1,247325.9,254117.2,253273.0,255820.8,259678.3,262985.6,266982.9,274419.9,279643.7,284837.5,287527.5,285982.5,286171.6,290747.7,298161.4,302404.3,304926.1,305706.2,308211.9,311097.1,316930.1,321379.3,325066.9,330234.4,332617.8,337830.8,340636.5,346675.0,352543.6,356718.2,363742.3,366484.8,367818.8,370260.1,357768.2,358711.7,363561.0,374652.0,377396.3,386238.5,392479.0,396469.6,402066.0,405904.8,407666.7,409552.3,412298.9,416240.7,417998.0,419861.6,422987.5,426342.4,431160.1,435484.7,439300.3,442669.9,446872.4,448023.5,450409.2,454302.8,456256.6,463025.5,466604.0,468400.3,474271.5,476105.6,479773.7,485188.1,488752.2,495472.5,494319.3,501586.1,505496.7,508089.3,510930.2,511364.0,518107.4,519165.9,524345.1,517612.0,503461.2,514615.0,522778.3,530731.1,538119.9,538107.6,546464.3,548545.8,553397.8,556130.3,554084.9,556056.4,559865.6,564243.5,567012.3,573667.3,572357.1,572866.1,573311.8,572057.7,575918.3
"정보통신산업",3587.3,3922.2,4027.5,4129.5,4288.7,4399.8,4473.2,4649.7,4414.9,4897.2,5155.7,4987.0,5398.0,5563.9,6168.3,6457.9,6621.3,7341.5,7850.9,8398.2,9296.2,10052.7,10413.2,10615.3,11580.8,11227.0,10924.0,12591.9,12987.4,13511.0,13552.0,14292.4,14408.2,14537.0,15384.9,16308.8,17114.2,17606.9,17444.6,18079.8,18656.7,19079.3,19652.5,20292.2,20761.2,21197.5,21835.5,21959.7,22349.2,22924.2,23904.7,24663.6,25050.3,25361.7,25909.3,24893.7,25727.0,26095.3,27112.8,27995.5,28785.0,29742.1,30462.9,30829.4,32001.8,32161.7,32079.1,32293.1,32165.2,33277.0,33315.9,34471.8,34760.0,35784.5,34824.3,35843.0,36850.7,37576.9,35388.5,36655.6,37303.3,36890.7,37361.2,39082.3,40161.5,40756.8,40407.6,41346.0,41447.2,41746.9,43364.3,44406.8,45880.9,47073.6,48987.5,47317.9,47661.5,49528.6,51882.8,50749.7,52913.2,51539.3,53007.0,55489.4,56990.1,59542.4,59574.0,62076.5,62263.7,64447.8,63402.7,61061.6,61563.1,64972.4,68841.9,69871.2,70305.6,70620.9,71383.6,72199.9,73108.6,76656.0
"설비투자(지식재산생산물투자 포함)",27898.7,28248.9,29148.4,27917.3,29243.2,30200.2,32816.3,32481.9,30794.3,31828.8,30152.5,26723.5,20986.7,19893.1,20735.8,21609.2,23224.2,25803.9,27768.1,31055.0,34937.4,35384.3,36747.4,34892.7,35527.4,34642.7,34468.5,35707.4,37194.7,38039.4,38415.1,39384.2,39240.3,39020.9,38552.8,39904.3,40437.5,41500.9,41204.2,41512.4,41991.5,41971.5,42783.5,44028.3,43638.5,45824.4,47071.0,47339.8,48791.8,50058.9,49104.1,52413.9,52221.0,51270.6,51803.3,48986.9,47104.8,47705.5,51356.0,53783.5,57508.3,58648.8,58648.9,60885.1,61038.8,63830.8,62813.6,63272.6,67776.7,64146.3,63052.0,62227.0,62998.9,63437.1,63821.8,64669.1,66254.9,66853.4,67123.2,68634.6,68935.1,69211.5,70199.2,69296.7,68479.5,71038.4,72472.3,75470.0,78774.3,80939.1,82328.4,80650.6,84392.3,79680.9,78924.0,80129.2,77865.5,78294.1,78676.6,79161.2,80025.3,80133.4,82627.2,83209.7,88382.3,89974.4,87731.8,88204.6,88609.7,89680.8,93730.1,92742.4,91350.6,91871.2,90227.0,91166.3,91373.0,90836.7,93578.0,94342.8,94714.5,93869.2
"정보통신부문 설비투자",2645.5,2722.7,2949.2,2943.4,3164.6,3319.8,3443.9,3498.9,3590.2,3652.8,3659.5,3558.0,3031.0,3117.6,3617.5,3502.7,3673.1,4436.0,4932.9,6099.5,6877.7,7232.7,7485.4,7574.8,8413.4,8388.4,7799.5,8688.8,9515.7,9521.7,9562.6,9621.2,8934.7,9082.4,9466.8,9109.0,8477.1,8420.4,8385.6,8670.7,8999.4,9004.9,9089.7,9213.7,8977.5,9682.1,9861.0,10033.5,10099.5,10190.4,10318.6,10412.0,10556.6,10234.7,10288.9,10258.3,8924.6,9383.8,9780.5,10825.5,10487.4,10842.2,10891.1,11001.9,12198.5,12593.0,12522.0,11715.1,12899.2,12592.4,12163.5,12107.8,12183.1,11745.1,12672.9,12840.1,12548.6,12978.0,12938.4,13199.2,13178.3,13262.9,13093.9,12947.0,12868.3,13174.1,13160.3,13247.7,14177.8,14293.2,14960.1,15336.3,15421.4,15394.1,15572.2,15679.8,15494.0,15786.3,16016.9,15841.9,15550.5,15704.0,15717.8,16117.5,17900.7,17526.4,17404.7,17759.8,18174.5,18253.8,18596.8,18864.9,18706.4,18550.1,18619.5,18299.2,18366.5,17963.2,18393.3,18173.9,18363.6,19129.7
"민간소비",114975.4,117547.2,119632.0,122509.8,124752.3,127296.9,127813.6,132256.9,131282.5,133964.5,135253.9,133954.1,115427.0,115895.4,118573.3,121369.4,125405.9,129493.6,134580.3,139248.7,141914.0,143873.5,144959.3,145806.9,146358.9,151885.4,154279.6,157648.7,163582.3,166927.1,167733.0,167610.3,166599.6,165663.7,166175.3,166365.0,166182.3,166656.2,166926.7,168717.9,170412.2,174504.7,176622.8,178495.7,180254.3,182600.5,184681.3,187419.1,189788.2,192893.6,195052.3,197050.8,199010.8,198826.2,198782.8,191656.2,190806.3,197485.8,199718.9,201886.6,203577.3,205240.8,207297.3,209125.7,211517.5,213148.6,212830.8,213462.3,214790.4,215500.0,217411.9,218012.7,217567.4,219822.2,221378.2,222780.9,224000.0,224189.3,225291.0,226495.4,228582.9,229301.9,230494.9,234806.7,235162.0,237013.2,238124.3,238592.0,240128.6,243128.9,245684.8,247117.2,250407.0,251091.3,252331.3,254241.2,255848.6,256245.1,258452.3,261440.0,245481.7,245469.8,247542.3,245594.2,247767.4,255130.4,256415.1,261565.4,258467.9,266259.2,269702.0,269499.4,271028.4,271041.0,271265.7,272091.5,273566.8,273551.4,274696.0,275221.9,274826.7,276188.1
"정보통신부문 민간소비",1284.5,1344.5,1468.4,1480.3,1502.5,1575.5,1682.1,1833.3,1781.6,1871.7,2014.6,2133.9,1829.3,1965.3,2009.8,2255.0,2476.2,2596.2,2885.7,3197.7,3906.1,3796.9,3535.8,3852.0,3953.4,4207.4,4272.3,4366.9,4739.8,4677.0,4784.6,4745.5,4757.7,4805.6,4945.2,4949.5,5281.2,5237.1,5043.2,5162.5,5495.1,5578.2,5752.4,5923.1,5786.9,6146.2,6396.9,6832.6,6651.5,6895.2,7283.2,7406.3,7597.5,7732.9,7795.2,7453.1,7388.4,7580.8,7823.8,7885.8,8300.9,8344.4,8521.5,8747.9,8920.2,9339.2,9092.4,9434.2,9458.5,9651.2,9950.8,9913.4,9646.3,9854.3,9777.4,9955.7,9986.1,9670.3,9982.0,9614.0,10177.5,10199.8,10265.2,10327.8,10459.8,10463.3,10226.7,10584.5,10401.7,10897.2,11100.2,11364.3,11128.1,10974.6,11303.8,11216.5,11584.8,11281.3,11464.1,11564.6,11741.3,12123.5,12511.5,12538.8,12902.1,12971.2,13101.5,13294.9,13243.2,13285.1,13024.7,13211.4,13518.2,13405.1,13624.2,13572.3,13753.3,13434.2,13975.6,13532.8,13806.5,13894.9
"재화수출",18691.6,19744.6,20541.3,20942.8,22151.0,20681.8,21041.6,22674.3,23502.1,25845.7,26939.9,26445.6,29684.6,29995.2,29422.3,30352.5,31550.5,34153.3,34725.8,37303.0,38493.4,40390.1,43103.1,41585.6,41529.9,39441.1,39635.6,39676.2,42302.1,45006.4,47984.9,49450.8,49601.8,50283.1,54220.6,60292.3,63880.9,65362.3,64412.7,66192.6,67261.5,69792.1,71823.9,74467.1,77324.3,80448.1,83060.1,81539.3,86539.0,89781.3,90972.9,96821.0,97496.2,97319.8,99054.9,93549.6,93181.6,93882.4,98220.1,102397.7,101167.1,111240.8,111351.5,117921.9,126782.2,129160.2,130806.8,131532.7,131590.8,134463.0,139181.0,140363.2,140504.8,141955.7,141799.2,143570.8,144413.4,145180.9,142410.9,142400.3,142652.6,142953.2,141199.2,144142.7,143440.5,146300.5,145179.2,146731.9,152355.2,150610.0,155911.6,147239.0,151437.1,155292.1,159879.2,156591.1,147319.3,152174.6,156377.9,158017.6,155947.9,135991.3,158270.5,164136.8,168960.3,168800.3,168189.4,175062.4,181433.9,179674.5,176838.6,169868.9,175913.3,177051.2,181869.0,187978.0,190368.3,193141.9,192868.2,192863.7,190036.5,199931.9
"정보통신부문 재화수출",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3378.4,3909.6,4336.7,4026.9,3800.9,3673.7,3674.9,4097.1,4684.5,5214.2,5682.2,5921.2,6027.6,6141.8,7290.4,7811.7,8626.4,9139.9,8978.4,9019.9,9325.2,9951.5,10142.0,10557.9,11078.9,11790.3,12908.8,12521.6,14002.8,14944.2,16008.1,17328.8,17185.8,16383.4,17773.4,17880.2,20197.5,18331.7,18965.9,21340.6,20692.1,22711.1,23247.9,24678.3,29699.3,30242.3,29603.3,30350.3,27869.2,29874.0,30595.0,31901.0,31674.9,33458.1,33725.0,32822.3,33596.3,34288.2,31187.8,30565.3,28659.8,28793.5,28849.5,29850.9,31569.4,32704.0,32476.3,32238.2,37236.2,35904.0,35828.4,37473.9,38421.3,40180.9,41897.6,39513.6,36235.1,39369.9,42891.4,41614.8,44707.3,39479.2,46424.7,50562.6,50139.8,50545.6,51752.3,54690.6,60294.4,62360.9,56801.8,54309.0,53299.0,53656.3,59841.9,64308.0,66895.4,64849.8,66388.2,69400.8,71679.3,73035.0
"재화수입",32476.1,34179.4,34867.4,35077.7,36832.4,37936.2,39118.0,40496.0,38870.0,38934.8,40234.3,37333.8,26721.4,27730.6,27584.8,30787.0,32735.1,35416.4,37505.5,40345.7,44419.4,44864.8,46341.6,44663.3,43953.4,41925.1,43098.2,43333.6,44720.3,48567.8,51902.4,53259.6,53988.0,53212.0,55147.0,59504.8,61018.1,61328.0,60172.2,62982.4,62223.2,65539.4,67312.3,67695.2,71850.8,72771.2,78722.2,73275.0,78738.8,83378.5,81255.1,84036.2,87307.3,86344.2,89650.3,74593.3,70196.5,75390.2,83330.7,85760.2,88286.7,92841.3,95460.1,99928.1,107808.5,115181.0,109476.2,111008.6,113804.4,113630.4,113927.0,111857.2,113113.0,114576.5,115191.5,117034.2,115600.3,115419.4,115456.9,115326.5,114535.2,114403.1,115574.7,119491.7,116245.8,119837.0,122142.2,124125.6,129757.4,130020.8,132830.2,125884.5,133878.7,132888.0,129408.8,131954.7,124587.7,130022.7,129596.3,129889.7,127126.9,124376.0,131247.4,132595.3,139869.8,146125.8,143709.2,150185.4,149630.8,150849.8,156017.6,150757.3,155777.5,149216.2,147266.5,149289.3,149022.1,151678.0,154323.4,154300.3,150609.4,155210.6
"정보통신부문 재화수입",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1887.1,1993.8,2089.9,2031.1,1851.7,1764.3,1740.6,1769.1,1921.8,2171.4,2541.9,2811.9,2775.7,2775.0,3021.6,3304.0,3320.7,3330.6,3227.5,3306.2,3535.5,4007.5,4036.5,4176.0,4798.1,4726.4,5431.4,4928.9,5690.2,6312.8,6379.0,6604.3,6894.8,7009.8,7664.9,5555.3,5257.0,6734.7,7768.0,7907.6,7841.1,8229.3,8805.2,10071.6,12442.0,13478.8,12046.6,12441.9,12050.3,12332.6,12598.1,12471.7,12124.1,12520.1,12819.3,13374.7,14003.3,14126.6,13427.9,14350.6,13518.2,12790.5,14063.7,14602.1,14373.4,14322.5,14769.5,15252.8,16977.6,16905.7,16727.9,16951.5,16307.5,16945.4,16676.7,16762.3,15748.8,17371.8,17726.3,17718.3,17913.9,16928.3,19122.6,19876.8,20593.1,20298.6,20111.9,22517.1,23223.3,24656.9,25593.7,23479.9,24119.4,24128.4,23592.0,22903.3,22442.6,21940.0,22210.7,23112.4,22993.5,25409.4
